OBJECTID;NOM_ARRET;LIGNE;DIRECTION;NUMERIQUE_ARRET;LETTRE_DE_QUAI;SLOID;ORIENTATION_COMPASS;E;N
104;Genève, Athénée;07;07 (07 (Vernier, Lignon-Tours));ATHE04;L;ch:1:sloid:92779:0:724258;43;2500496.39;1117142.03
105;Genève-Champel-Gare/Hôpital;07;07 (07 (Genève, Bout-du-Monde));GCHH02;F;ch:1:sloid:92898:0:356226;;2500558.22;1116561.49
106;Genève-Champel, gare/Hôpital;07;07 (07 (Vernier, Lignon-Tours));GCHH03;E;ch:1:sloid:92898:0:280057;;2500575.17;1116574.16
107;Genève, Ormeaux;07;07 (07 (Genève, Bout-du-Monde));ORMA01;D;ch:1:sloid:92873:0:982612;70;2499493.35;1118004.78
108;Genève, Musée art et histoire;07;07 (07 (Genève, Bout-du-Monde));JADA01;O;ch:1:sloid:92851:0:856098;225;2500585.3;1117255.42
109;Carouge GE, Fontenette;07;07 (07 (Genève, Bout-du-Monde));FONT02;L;ch:1:sloid:92674:0:442487;190;2500237.77;1115786.61
110;Genève, Pédiatrie;07;07 (07 (Vernier, Lignon-Tours));PEDI01;G;ch:1:sloid:3332:0:52809;;2500426.41;1116218.07
111;Genève, Mercier;07;07 (07 (Vernier, Lignon-Tours));ISAM00;T;ch:1:sloid:92841:0:478048;264;2499699.34;1118093.89
112;Aubépine;07;07 (07 (Genève, Bout-du-Monde));AUBE00;A;ch:1:sloid:3333:0:164397;270;2500292.15;1115915.15
113;Genève, Hôpital;07,01,05;07,01,05 (07 (Genève, Bout-du-Monde),01 (Genève, Jardin Botanique),05 (Genève-Aéroport, Terminal));HOPI03;I;ch:1:sloid:92837:0:197614;232;2500481.07;1116739.03
114;Genève, Place Claparède;07,01,05;07,01,05 (07 (Genève, Bout-du-Monde),01 (Genève, Jardin Botanique),05 (Genève-Aéroport, Terminal));CLAP00;N;ch:1:sloid:92805:0:29012;146;2500583.78;1116824.85
115;Genève, Jean-Jacques;07,09;07,09 (07 (Genève, Bout-du-Monde),09 (Thônex, Belle-Terre Pl. Araire));JJAC01;L;ch:1:sloid:92844:0:982017;78;2498637.8;1117832.35
